#id	繁体	中文
$id	language_zh_tw	language_zh_cn
101	9453PLAY帳號登入	9453PLAY账号登入
102	FaceBook帳號登入	FaceBook账号登入
103	Google帳號登入	Google账号登入
104	遊客帳號登入	游客账号登入
105	遊客	游客
106	9453PLAY	9453PLAY
107	FaceBook	FaceBook
108	Google	Google
109	登入表示同意：會員管理規章	登入表示同意：会员管理规章
110	初始化成功	初始化成功
111	初始化失敗	初始化失败
112	SDK尚未初始化	SDK尚未初始化
113	伺服器請求超時，請重試！	服务器请求超时，请重试！
114	關閉視圖	关闭视图
115	帳號資訊已過期，請重新登錄	账号信息已过期，请重新登录
116	遊客帳號僅能在此裝置使用，未避免帳號遺失請儘快綁定	游客账号仅能在此装置使用，未避免账号遗失请尽快绑定
200	請選擇地區碼	请选择地区码
201	登入遊戲	登入游戏
202	帳號註冊	账号注册
203	手機號碼（限數字）	手机号码（限数字）
204	密碼（6~12位，限英數）	密码（6~12位，限英数）
205	顯示密碼	显示密码
206	忘記密碼	忘记密码
207	修改密碼	修改密码
208	再次確認密碼	再次确认密码
209	註冊即表示您同意<會員管理規章>	注册即表示您同意<会员管理规章>
210	確認註冊	确认注册
211	用戶帳號不能為空	用户账号不能为空
212	密碼不能為空	密码不能为空
213	密碼應為6~12位	密码应为6~12位
214	手機號碼不正確	手机号码不正确
215	地區	地区
219	密碼不正確	密码不正确
220	帳號也存在	账号也存在
221	網路連接失敗，請檢查您的網路連接	网络连接失败，请检查您的网络连接
222	密碼格式不正確	密码格式不正确
223	密碼太簡單，請重新設置	密码太简单，请重新设置
224	登入失敗，請重試	登入失败，请重试
225	未知錯誤	未知错误
226	登錄中，請稍後...	登录中，请稍后...
227	註冊中，請稍後...	注册中，请稍后...
228	請輸入驗證碼	请输入验证码
229	驗證碼格式不正確	验证码格式不正确
230	驗證碼發送成功	验证码发送成功
231	驗證碼發送失敗	验证码发送失败
232	發送驗證碼中...	发送验证码中...
233	遊戲尚未登錄	游戏尚未登录
234	取消登錄	取消登录
235	登錄失敗	登录失败
236	登錄成功	登录成功
237	登出成功	登出成功
301	忘記密碼	忘记密码
302	簡訊驗證碼	简讯验证码
303	取得驗證碼	取得验证码
304	輸入新密碼	输入新密码
305	再次輸入新密碼	再次输入新密码
306	確認修改	确认修改
307	輸入舊密碼（6~12位，限英數）	输入旧密码（6~12位，限英数）
308	修改密碼	修改密码
309	兩次密碼輸入不一致	两次密码输入不一致
310	修改成功	修改成功
311	修改失敗	修改失败
312	修改密碼中...	修改密碼中...
401	現在使用【%s】帳號登入	现在使用【%s】账号登入
402	切換帳號	切换账号
403	綁定帳號	绑定账号
404	帳號綁定成功	账号绑定成功
405	帳號綁定失敗	账号绑定失败
406	綁定手機	绑定手机
407	取消綁定	取消绑定
408	該帳號資訊已綁定,請重新綁定新的帳號	该账号信息已绑定,请重新绑定新的账号
500	臺灣	台湾
501	香港	香港
502	澳門	澳门
503	大陸	大陆
600	支付成功	支付成功
601	支付失敗	支付失败
602	提示	提示
603	確定	确定
604	取消	取消
605	你上筆訂單未支付到賬，請進行補單操作	你上笔订单未支付到账，请进行补单操作
606	上筆訂單支付到賬，是否再次進行支付	上笔订单支付到账，是否再次进行支付
1001	參數缺少或者格式錯誤	参数缺少或者格式错误
1002	參數異常	参数异常
2101	帳號資訊錯誤或者並不存在	帐号信息错误或者并不存在
2102	帳號資訊錯誤或者並不存在	帐号信息错误或者并不存在
2103	資料庫更新失敗	数据库更新失败
2201	帳號資訊錯誤或者並不存在	帐号信息错误或者并不存在
2301	該帳號沒有綁定手機	该帐号没有绑定手机
2302	該帳號沒有綁定手機	该帐号没有绑定手机
2401	更換設備資訊失敗	更换设备信息失败
2501	綁定手機失敗	绑定手机失败
2502	無法綁定非本設備帳號	无法绑定非本设备帐号
2601	沒有遊客帳號	没有游客帐号
2701	創建帳號失敗	创建帐号失败
2801	創建綁定帳號失敗	创建绑定帐号失败
2901	獲取USERID帳號失敗	获取USERID帐号失败
3001	創建USERDATA帳號失敗	创建USERDATA帐号失败
3101	更新帳號歷史列表	更新帐号历史列表
3201	對應平臺帳號並不存在	对应平台帐号并不存在
3202	對應平臺帳號已經存在	对应平台帐号已经存在
3301	對應綁定帳號並不存在	对应绑定帐号并不存在
3401	綁定帳號失敗	绑定帐号失败
1101	無效驗證碼	无效验证码
1102	錯誤的驗證碼	错误的验证码
1103	帳號不存在或者密碼不匹配，帳號被凍結，半小時後重試！	账号不存在或者密码不匹配，账号被冻结，半小时后重试！
1104	帳號不存在或者密碼不匹配，連續輸錯3次，帳號將會凍結30分鐘！	账号不存在或者密码不匹配，连续输错3次，账号将会冻结30分钟！
1105	該手機號已存在,請更換手機號重試	该手机号已存在,请更换手机号重试
1106	平臺登陸失敗	平台登陆失败
1201	帳號不能為空	账号不能为空
1202	密碼不能為空	密码不能为空
1203	手機號必須由純數字組成	手机号必须由纯数字组成
1207	密碼長度必須在1-24之間	密码长度必须在1-24之间
1208	帳號不能和密碼相同	帐号不能和密码相同
12801	創建平臺帳號失敗	创建平台帐号失败
